TEAM_ID,W_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,TM_TOV_PCT,TS_PCT,PACE,SEASON_ID,PLAYOFF_WINS
1610612765,0.39,98.5,100.3,-1.8,1.25,14.9,0.325,0.691,0.164,0.498,96.15,2000-01,0
1610612744,0.207,96.3,105.5,-9.2,1.37,15.9,0.357,0.68,0.165,0.47,95.7,2000-01,0
1610612745,0.549,105.2,102.8,2.4,1.34,15.7,0.305,0.691,0.159,0.538,91.66,2000-01,0
1610612754,0.5,100.3,100.5,-0.2,1.42,16.9,0.297,0.685,0.164,0.519,90.89,2000-01,1
1610612746,0.378,100.3,103.2,-2.9,1.23,15.3,0.322,0.682,0.171,0.514,90.67,2000-01,0
1610612747,0.683,107.0,103.6,3.5,1.59,17.4,0.338,0.691,0.154,0.535,92.9,2000-01,15
1610612748,0.61,99.4,97.1,2.3,1.45,16.4,0.28,0.7,0.153,0.515,88.39,2000-01,0
1610612749,0.634,106.8,102.6,4.2,1.64,17.2,0.301,0.683,0.145,0.542,93.89,2000-01,10
1610612750,0.573,103.9,102.4,1.6,1.83,19.0,0.315,0.682,0.148,0.523,92.99,2000-01,1
1610612751,0.317,98.4,103.8,-5.4,1.33,15.4,0.292,0.673,0.157,0.504,93.35,2000-01,0
1610612752,0.585,100.0,97.0,3.0,1.28,15.6,0.276,0.707,0.163,0.523,87.74,2000-01,2
1610612753,0.524,102.1,101.1,1.0,1.45,16.6,0.321,0.662,0.159,0.513,94.14,2000-01,1
1610612755,0.683,101.9,97.3,4.6,1.31,16.0,0.334,0.704,0.17,0.518,92.09,2000-01,12
1610612756,0.622,98.9,96.7,2.3,1.52,17.5,0.305,0.702,0.161,0.506,94.41,2000-01,1
1610612757,0.61,104.7,100.5,4.2,1.56,18.6,0.333,0.7,0.168,0.539,90.53,2000-01,0
1610612758,0.671,104.2,98.5,5.7,1.52,16.8,0.307,0.679,0.152,0.529,95.61,2000-01,3
1610612759,0.707,105.0,96.6,8.3,1.55,17.2,0.297,0.703,0.152,0.541,90.87,2000-01,7
1610612760,0.537,104.4,104.2,0.2,1.43,16.9,0.321,0.668,0.164,0.53,92.69,2000-01,0
1610612761,0.573,104.4,102.0,2.3,1.86,18.2,0.339,0.7,0.141,0.51,92.22,2000-01,6
1610612762,0.646,106.1,100.9,5.2,1.63,19.6,0.332,0.701,0.173,0.546,91.08,2000-01,2
1610612763,0.28,98.2,104.2,-6.0,1.47,17.9,0.293,0.675,0.168,0.51,93.03,2000-01,0
1610612764,0.232,99.4,106.2,-6.8,1.18,15.6,0.328,0.684,0.181,0.514,93.97,2000-01,0
1610612737,0.402,100.4,104.8,-4.4,1.3,15.8,0.297,0.689,0.166,0.517,93.21,2001-02,0
1610612738,0.598,102.1,99.9,2.2,1.55,16.4,0.272,0.695,0.144,0.52,93.6,2001-02,9
1610612766,0.537,102.9,101.8,1.2,1.53,16.7,0.333,0.689,0.154,0.513,90.93,2001-02,4
1610612741,0.256,97.2,106.2,-9.1,1.45,17.3,0.298,0.685,0.166,0.499,91.56,2001-02,0
1610612739,0.354,103.4,107.0,-3.6,1.58,17.8,0.319,0.69,0.158,0.524,91.31,2001-02,0
1610612742,0.695,110.3,106.0,4.3,1.83,16.9,0.285,0.683,0.127,0.553,94.36,2001-02,4
